F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
-13.735,0,12.4532,5.9854,1473.45,4.7491,4.4004,-4850.82,1,9959.04,6.867,-86111.892,1.73,-3199.35,1.4892,-1.3342,16004.16,-11645.82,-6.9963,,True
-5.171,1,12.16045,4.6222,783.15,4.9994,4.263,378.78,1,10107.44,9.471,-86180.19,0.73,-3064.95,3.1206,-1.6096,16041.48,-9759.42,-4.27404,,True
-38.65,1,12.5568,4.4096,2573.95,5.93,3.47837,-5215.48,0,10971.04,2.0373,-86151.36,0.73,-3638.85,1.9818,-0.49086,16422.78,-10775.22,-8.259,,False
-8.639,1,12.24362,8.508,1499.68,4.32808,3.52954,-4378.42,0,9681.1,2.022,-244410.87,0.73,724.95,11.562,-4.568,16270.04,-9416.714,-5.5746,,False
-14.73,0,13.0582,5.5188,1409.15,4.5242,3.55388,-1919.22,1,10965.64,4.314,-86252.4,0.73,-2607.15,2.544,-1.025,16548.78,-9797.82,-4.33848,,False
-6.654,1,12.2107,4.7846,1250.15,4.4804,4.3474,-4973.6,1,9762.9,2.9487,-86115.861,1.73,-2841.45,2.3127,-3.344,17286.18,-9435.88,-11.226,-12.86,True
-7.631,1,12.160086,4.629,1079.35,5.1378,4.398,-4813.82,0,9905.84,0.45504,-85993.53,1.73,-3290.13,1.32114,-2.38,9467.98,-15433.82,-6.6147,-11.38,True
-10.322,1,14.744,4.642,1084.95,4.6175,4.1803,-4898.22,1,15152.24,1.8024,-86129.919,0.73,-2912.85,2.2365,-0.4457,16397.18,-10107.02,-8.76,,True
-15.24,1,12.6802,4.6122,2533.25,4.4778,5.89,-5530.62,0,9359.04,0.603,-85872.66,0.73,-4876.95,3.093,-1.376,13923.98,-9682.42,-5.0367,,False
-7.892,1,12.9978,7.952,1769.45,6.087,4.944,-5235.74,1,9203.84,0.9915,-86076.645,0.73,-3756.27,2.2536,-1.5958,12569.98,-10185.82,-9.288,,False
-5.773,1,12.8106,7.442,1531.13,5.304,4.4441,-4822.02,0,9589.3,1.7427,-86254.5,1.73,-3461.79,6.426,-1.3698,17917.78,-9402.162,-5.2638,-11.74,False
-22.73,1,13.8526,4.2655,520.35,4.9236,4.4025,-4866.9,1,10030.84,1.8003,-86100.489,1.73,-3267.48,1.7628,-2.604,16465.98,-10951.42,-7.089,,True
-14.19,0,13.3914,6.502,1722.95,5.982,3.9042,-3547.22,1,9666.1,2.1645,-86074.773,1.73,-3523.569,3.3774,-8.758,15556.38,-9316.72,-4.602,,True
-3.9156,0,12.5712,7.262,1678.55,5.691,3.854,-5202.92,1,9666.12,1.5249,-82380.87,1.73,-3658.65,1.5345,-4.208,16350.82,-11619.82,-7.635,,False
-12.164,1,12.9512,5.5182,1577.7049,6.208,3.6215,-4987.22,0,10069.84,2.7087,-86046.78,0.73,-3468.69,6.165,-2.2032,15754.38,-9650.62,-9.492,-12.21,False
-4.3988,1,13.1282,4.9224,1816.85,4.9756,3.577,-5132.48,1,9568.92,2.9595,-86051.85,0.73,-3691.11,1.36749,-5.46,15881.98,-10882.42,-4.6785,,False
-7.907,0,12.3916,4.31516,3930.35,7.106,4.1326,-4292.62,0,10407.44,8.886,-86138.88,0.73,-3509.3304,1.6485,-1.147,15949.18,-9151.62,-5.4906,-10.56,False
-15.25,0,15.32,6.742,1752.65,4.7167,3.48062,-5503.62,1,9635.004,3.1362,-85139.07,1.73,-4235.55,3.4269,-0.8192,16866.58,-9668.82,-5.9262,,False
-21.91,1,12.162218,5.2342,1481.39,4.469,4.4191,-4851.02,0,12060.24,3.492,-86356.65,1.73,-3034.95,2.1135,-0.51206,15882.78,-10465.82,-5.9589,-11.39,True
-3.86594,0,12.3972,6.714,1473.45,5.541,4.3766,-4847.42,0,9609.48,1.0821,-86024.61,1.73,-3395.97,1.4487,-1.876,15580.38,-11053.22,-6.6876,-11.63,False
-85.56,0,12.414,7.43,1675.73,4.5513,3.7517,-5393.82,0,9022.84,1.2066,-86067.99,0.73,-4250.25,4.611,-0.42546,16418.78,-9575.66,-5.1729,-11.35,False
-4.7031,1,14.588,11.798,1633.52,4.34784,3.7442,-6373.22,1,9684.78,0.6159,-85998.12,0.73,-7297.05,6.153,-2.756,14758.98,-9667.82,-4.6944,-9.87,False
-38.92,1,13.8826,6.124,1567.19,4.4221,5.043,-4832.42,1,9781.1,0.5457,-85873.5,1.73,-2788.35,4.962,-1.8424,21069.98,-9278.04,-8.235,-9.51,False
