F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
27.88,1596.99,191.21,Europe,-9.07,-935.98,9.98,53,-7.44,26.68,52.82,26.32,-735.94,-1442.54,-7476.27,High,2529.27,2,4.92,879.9,11089.8,2039.61,16437.45,19.14,2264.43,617.07,71.52,-30139.68,0.07,-115.89,-213.84,11.58,24.06,2,-8.93
165,2900.79,206.84,Rest,-32.42,-581.94,15.3,52.7,-9.8,37.14,45.62,24.46,-1398.24,-786.04,-6260.85,High,2063.31,5,0.17,1118.26,15339.7,2649,16678.14,15.82,3130.56,643.38,80.52,-16725.63,3.07,-149.07,-88,2.76,25.92,4,377.83
229.96,2677.29,180.04,Rest,-17.4,-393.22,12.44,49.66,-11.23,22.44,79.46,25.04,-2172.78,-471.92,-9078.03,Very low,2888.19,5,1.76,945.85,19229.18,2141.4,16404.78,19.03,3927.57,2735.28,67.64,-16419.12,2.19,80.4,-168.06,1.18,34.8,3,252.4
264.86,2508.93,161.19,UK,-3.77,-2271.72,16.6,50.36,-14.8,27.86,104.44,27.62,-1085.2,-1355.77,-7497.48,Very high,2768.61,6,1.48,779.97,20369.24,4412.22,13252.05,15.12,2380.95,6795.81,71.78,-17932.92,0.01,-113.37,-285.06,4.86,15.75,6,308.26
139.84,3418.35,187.5,UK,-11.51,-1111.6,16.83,53.3,-15.05,25.34,59.08,35.1,-1790.44,-653.78,-7662.24,Low,1415.1,7,7.28,1106.02,18777.82,4173.36,27917.43,21.91,3905.46,-890.07,71.64,-23304.93,0,-158.13,-208.06,10.88,6.36,4,81.85
101.4,3155.34,205.8,Rest,-13.49,-539.34,16.02,44.54,-11.63,26.6,41.12,37.2,-1921.64,-899.75,-7833.39,Very low,3190.11,5,10.98,303.56,33161.48,4365.93,23848.5,14.47,2353.77,3216.93,70.46,-5508.72,0.94,-11.28,-152.38,9.22,41.67,2,-8.93
218.22,3986.37,227.57,USA,24.85,-442.92,15.74,50.82,-10.81,30.04,93.52,39.86,-1246.44,-1076.26,-7157.58,High,2371.56,5,1.5,553.67,27292.8,1682.76,24865.29,17.22,2888.58,1959.42,67.14,3122.37,1.34,-155.58,-80.16,2,23.46,4,710.75
238.28,2987.22,124.02,Europe,-37.55,-764.44,28.08,61.1,-13.85,32.52,12.4,36.1,-1648.96,-919.22,-5687.79,Medium,2941.47,3,3.18,966.76,18523.4,3358.14,9777.51,19.99,1382.04,-1374.72,78.16,-2670.75,0.06,-180.42,-161.82,14.62,16.8,2,530.15
126.14,3526.68,193.82,UK,34.88,-1594.18,10.12,48.62,-10.56,17.9,19.98,33.88,-652.28,-940.32,-8840.22,Very high,720.15,5,7.8,998.89,18448.76,3326.4,35231.25,12.1,4277.16,1399.32,70.7,-12251.58,31.29,95.34,-248.34,8.12,27.36,4,40.96
230.28,3159.18,190.13,Europe,-60.62,-1469.56,11.66,42.36,-14.57,20.68,78.06,28.88,-1793.86,-600.27,-6521.16,Medium,1037.04,2,4.32,684.16,16561.64,3658.47,36729.9,15.87,2077.5,-2675.31,72.88,-21761.76,0.08,-141.57,-185.08,5.8,23.13,5,27.22
